id;nome_escola_id;nu_ano_censo;id_docente;nu_mes;nu_ano;nu_idade_referencia;nu_idade;tp_sexo;tp_cor_raca;tp_nacionalidade;co_pais_origem;co_uf_nasc;co_municipio_nasc;co_uf_end;in_def_auditiva;co_municipio_end;tp_zona_residencial;tp_local_resid_diferenciada;in_necessidade_especial;in_cegueira;in_baixa_visao;in_surdez;in_surdocegueira;in_def_fisica;in_def_intelectual;in_def_multipla;in_autismo;in_superdotacao;tp_escolaridade;tp_ensino_medio;tp_situacao_curso_1;co_area_curso_1;co_curso_1;in_licenciatura_1;nu_ano_conclusao_1;tp_tipo_ies_1;co_ies_1;tp_situacao_curso_2;co_area_curso_2;co_curso_2;in_licenciatura_2;nu_ano_conclusao_2;tp_tipo_ies_2;co_ies_2;tp_situacao_curso_3;co_area_curso_3;co_curso_3;in_licenciatura_3;nu_ano_conclusao_3;tp_tipo_ies_3;co_ies_3;in_complementacao_pedagogica;co_area_compl_pedagogica_1;co_area_compl_pedagogica_2;co_area_compl_pedagogica_3;in_disc_quimica;in_disc_fisica;in_disc_matematica;in_disc_biologia;in_disc_ciencias;in_disc_lingua_portuguesa;in_disc_lingua_ingles;in_disc_lingua_espanhol;in_disc_lingua_frances;in_disc_lingua_outra;in_disc_lingua_indigena;in_disc_artes;in_disc_educacao_fisica;in_disc_historia;in_disc_geografia;in_disc_filosofia;in_disc_ensino_religioso;in_disc_estudos_sociais;in_disc_sociologia;in_disc_est_sociais_sociologia;in_disc_informatica_computacao;in_disc_profissionalizante;in_disc_port_segunda_lingua;in_disc_estagio_supervisionado;in_disc_libras;in_disc_pedagogicas;in_disc_outras;in_especializacao;in_mestrado;in_doutorado;in_pos_nenhum;in_especifico_creche;in_especifico_pre_escola;in_especifico_anos_iniciais;in_especifico_anos_finais;in_especifico_ens_medio;in_especifico_eja;in_especifico_ed_especial;in_especifico_ed_indigena;in_especifico_campo;in_especifico_ambiental;in_especifico_dir_humanos;in_especifico_div_sexual;in_especifico_dir_adolesc;in_especifico_afro;in_especifico_outros;in_especifico_nenhum;in_especifico_gestao;tp_tipo_docente;tp_tipo_contratacao;id_turma;tp_tipo_atendimento_turma;tp_tipo_local_turma;tp_mediacao_didatico_pedago;in_especial_exclusiva;in_regular;in_eja;in_profissionalizante;tp_etapa_ensino;co_curso_educ_profissional
8016;425;2019;10820DFE682C30569B4B117E98ED1534;11;1956;62;63;2;0;1;76;29;2922300;29;NA;2927408;1;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;4;NA;1;3;344C02;0;1985;2;1363;1;1;145F18;1;2003;1;585;NA;NA;NA;0;NA;NA;NA;0;NA;NA;NA;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NA;0;0;0;NA;0;NA;0;NA;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;15962796;1;0;1;0;1;0;0;20;NA
8017;425;2019;10820DFE682C30569B4B117E98ED1534;11;1956;62;63;2;0;1;76;29;2922300;29;NA;2927408;1;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;4;NA;1;3;344C02;0;1985;2;1363;1;1;145F18;1;2003;1;585;NA;NA;NA;0;NA;NA;NA;0;NA;NA;NA;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NA;0;0;0;NA;0;NA;0;NA;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;15962799;1;0;1;0;1;0;0;20;NA
8018;425;2019;10820DFE682C30569B4B117E98ED1534;11;1956;62;63;2;0;1;76;29;2922300;29;NA;2927408;1;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;4;NA;1;3;344C02;0;1985;2;1363;1;1;145F18;1;2003;1;585;NA;NA;NA;0;NA;NA;NA;0;NA;NA;NA;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NA;0;0;0;NA;0;NA;0;NA;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;15964853;1;0;1;0;1;0;0;21;NA
8019;425;2019;10820DFE682C30569B4B117E98ED1534;11;1956;62;63;2;0;1;76;29;2922300;29;NA;2927408;1;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;4;NA;1;3;344C02;0;1985;2;1363;1;1;145F18;1;2003;1;585;NA;NA;NA;0;NA;NA;NA;0;NA;NA;NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NA;0;0;0;NA;0;NA;0;NA;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;15964854;1;0;1;0;1;0;0;41;NA
11675;425;2019;17C8CE763912C98A3DF7814B48CD7D8F;12;1968;50;51;2;3;1;76;29;2927408;29;NA;2927408;1;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;4;NA;1;9;999990;1;1994;1;40;1;1;145F02;1;1992;1;578;1;1;145F18;1;2010;NA;9999999;0;NA;NA;NA;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;NA;0;0;0;NA;0;NA;0;NA;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;15962794;1;0;1;0;1;0;0;19;NA
11676;425;2019;17C8CE763912C98A3DF7814B48CD7D8F;12;1968;50;51;2;3;1;76;29;2927408;29;NA;2927408;1;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;4;NA;1;9;999990;1;1994;1;40;1;1;145F02;1;1992;1;578;1;1;145F18;1;2010;NA;9999999;0;NA;NA;NA;1;0;1;0;NA;0;0;0;0;0;0;0;0;0;0;0;0;NA;0;0;0;NA;0;NA;0;NA;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;15962800;1;0;1;0;0;1;0;71;NA
11677;425;2019;17C8CE763912C98A3DF7814B48CD7D8F;12;1968;50;51;2;3;1;76;29;2927408;29;NA;2927408;1;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;4;NA;1;9;999990;1;1994;1;40;1;1;145F02;1;1992;1;578;1;1;145F18;1;2010;NA;9999999;0;NA;NA;NA;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NA;0;0;0;NA;0;NA;0;NA;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;15962801;1;0;1;0;0;1;0;70;NA
11678;425;2019;17C8CE763912C98A3DF7814B48CD7D8F;12;1968;50;51;2;3;1;76;29;2927408;29;NA;2927408;1;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;4;NA;1;9;999990;1;1994;1;40;1;1;145F02;1;1992;1;578;1;1;145F18;1;2010;NA;9999999;0;NA;NA;NA;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NA;0;0;0;NA;0;NA;0;NA;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;15964854;1;0;1;0;1;0;0;41;NA
11679;425;2019;17C8CE763912C98A3DF7814B48CD7D8F;12;1968;50;51;2;3;1;76;29;2927408;29;NA;2927408;1;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;4;NA;1;9;999990;1;1994;1;40;1;1;145F02;1;1992;1;578;1;1;145F18;1;2010;NA;9999999;0;NA;NA;NA;1;0;1;0;NA;0;0;0;0;0;0;0;0;0;0;0;0;NA;0;0;0;NA;0;NA;0;NA;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;15964858;1;0;1;0;0;1;0;71;NA
28132;425;2019;37CE10FD76099212688D9DFF0FEC5F22;3;1960;59;59;2;0;1;76;29;2927408;29;NA;2927408;1;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;4;NA;1;3;344C02;0;1984;2;1363;1;1;142P01;1;1983;2;519;NA;NA;NA;0;NA;NA;NA;0;NA;NA;NA;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NA;0;0;0;NA;0;NA;0;NA;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;15962793;1;0;1;0;1;0;0;19;NA
