ANO;UF;MUNICIPIO;NOME_MUNICIPIO;COD_ESCOLA;NOME_ESCOLA;REDE;IDEB;NIVEL
2005;BA;2927408;Salvador;29179319;ESCOLA MUNICIPAL CAMPINAS DE PIRAJA;Municipal;NA;EFAF
2005;BA;2927408;Salvador;29179394;EE - CENTRO EDUCACIONAL CARNEIRO RIBEIRO - CLASSE II;Estadual;NA;EFAF
2005;BA;2927408;Salvador;29179491;EE - CENTRO EDUCACIONAL CARNEIRO RIBEIRO - CLASSE IV;Estadual;2.9;EFAF
2005;BA;2927408;Salvador;29179548;EE - CENTRO EDUCACIONAL CARNEIRO RIBEIRO - CLASSE I;Estadual;2.5;EFAF
2005;BA;2927408;Salvador;29179629;EE - CENTRO EDUCACIONAL CARNEIRO RIBEIRO - CLASSE III;Estadual;2;EFAF
2005;BA;2927408;Salvador;29180244;ESCOLA MUNICIPAL PROFESSORA SUZANA IMBASSAHY;Municipal;2.6;EFAF
2005;BA;2927408;Salvador;29181119;EE - COLEGIO ESTADUAL LUIZ TARQUINIO - TEMPO INTEGRAL;Estadual;NA;EFAF
2005;BA;2927408;Salvador;29181143;EE - COLEGIO ESTADUAL LUIS VIANA;Estadual;0.7;EFAF
2005;BA;2927408;Salvador;29181429;EE - COLEGIO DA POLICIA MILITAR - UNIDADE I CPM DENDEZEIROS;Estadual;4.4;EFAF
2005;BA;2927408;Salvador;29181488;EE - COLEGIO ESTADUAL GOVERNADOR LOMANTO JUNIOR;Estadual;NA;EFAF
2005;BA;2927408;Salvador;29181534;EE - COLEGIO ESTADUAL NELSON MANDELA;Estadual;1.2;EFAF
2005;BA;2927408;Salvador;29181631;EE - COLEGIO POLIVALENTE DO CABULA;Estadual;1.7;EFAF
2005;BA;2927408;Salvador;29182034;EE - COLEGIO ESTADUAL ANTONIO CARLOS MAGALHAES;Estadual;2.9;EFAF
2005;BA;2927408;Salvador;29182042;EE - COLEGIO ESTADUAL HELENA CELESTINO MAGALHAES - TEMPO INTEGRAL;Estadual;2.8;EFAF
2005;BA;2927408;Salvador;29182050;EE - COLEGIO ESTADUAL TEREZA CONCEICAO MENEZES;Estadual;1.9;EFAF
2005;BA;2927408;Salvador;29182069;ESCOLA MUNICIPAL ADROALDO RIBEIRO COSTA;Municipal;3.6;EFAF
2005;BA;2927408;Salvador;29182085;EE - COLEGIO ESTADUAL ALVARO AUGUSTO DA SILVA - CLASSE V;Estadual;3.1;EFAF
2005;BA;2927408;Salvador;29182093;EE - COLEGIO ESTADUAL AZEVEDO FERNANDES;Estadual;2.2;EFAF
2005;BA;2927408;Salvador;29182107;EE - COLEGIO ESTADUAL CARNEIRO RIBEIRO FILHO;Estadual;2.9;EFAF
2005;BA;2927408;Salvador;29182115;EE - COLEGIO DA POLICIA MILITAR- CPM DONA LEONOR CALMON;Estadual;NA;EFAF
2005;BA;2927408;Salvador;29182158;EE - COLEGIO ESTADUAL EVARISTO DA VEIGA - TEMPO INTEGRAL;Estadual;2.9;EFAF
2005;BA;2927408;Salvador;29182166;EE - COLEGIO ESTADUAL GOES CALMON;Estadual;2.4;EFAF
2005;BA;2927408;Salvador;29182174;EE - COLEGIO ESTADUAL HELENA MATHEUS;Estadual;2.9;EFAF
2005;BA;2927408;Salvador;29182182;EE - COLEGIO ESTADUAL YPIRANGA - TEMPO INTEGRAL;Estadual;NA;EFAF
2005;BA;2927408;Salvador;29182190;EE - COLEGIO DA POLICIA MILITAR - CPM JOAO FLORENCIO GOMES;Estadual;NA;EFAF
2005;BA;2927408;Salvador;29182239;EE - COLEGIO ESTADUAL PEDRO CALMON;Estadual;2;EFAF
2005;BA;2927408;Salvador;29182247;EE - COLEGIO ESTADUAL DO STIEP CARLOS MARIGHELLA;Estadual;1.3;EFAF
2005;BA;2927408;Salvador;29182255;COLEGIO ESTADUAL PROFESSORA ANFRISIA SANTIAGO;Estadual;2;EFAF
2005;BA;2927408;Salvador;29182271;EE - COLEGIO ESTADUAL RAPHAEL SERRAVALLE;Estadual;2.5;EFAF
2005;BA;2927408;Salvador;29182280;EE - COLEGIO ESTADUAL URSULA CATHARINO;Estadual;4;EFAF
2005;BA;2927408;Salvador;29182395;COLEGIO MILITAR DE SALVADOR;Federal;7;EFAF
2005;BA;2927408;Salvador;29182689;EE - COLEGIO ESTADUAL ALMIRANTE BARROSO;Estadual;2;EFAF
2005;BA;2927408;Salvador;29182697;EE - COLEGIO ESTADUAL CLERISTON ANDRADE;Estadual;2.6;EFAF
2005;BA;2927408;Salvador;29182719;EE - COLEGIO ESTADUAL FREDERICO COSTA;Estadual;2.2;EFAF
2005;BA;2927408;Salvador;29182735;EE - COLEGIO ESTADUAL RUBEN DARIO;Estadual;3.1;EFAF
2005;BA;2927408;Salvador;29183839;EE - ESCOLA ESTADUAL PROFESSORA ARMANDINA MARQUES;Estadual;NA;EFAF
2005;BA;2927408;Salvador;29183987;EE - COLEGIO ESTADUAL MARCILIO DIAS - TEMPO INTEGRAL;Estadual;NA;EFAF
2005;BA;2927408;Salvador;29184088;ESCOLA MUNICIPAL ABRIGO FILHOS DO POVO;Municipal;NA;EFAF
2005;BA;2927408;Salvador;29184320;ESCOLA MUNICIPAL DR ANTONIO CARLOS MAGALHAES;Municipal;NA;EFAF
2005;BA;2927408;Salvador;29184460;EE - COLEGIO ESTADUAL DEMOCRATICO BERTHOLDO CIRILO DOS REIS;Estadual;2.2;EFAF
2005;BA;2927408;Salvador;29184916;EE - COLEGIO ESTADUAL DESEMBARGADOR PEDRO RIBEIRO;Estadual;2.9;EFAF
2005;BA;2927408;Salvador;29184932;EE - COLEGIO ESTADUAL PROFESSOR EDSON CARNEIRO;Estadual;2.5;EFAF
2005;BA;2927408;Salvador;29184983;EE - COLEGIO ESTADUAL PROFESSORA LEILA RUBENS FONSECA;Estadual;2.7;EFAF
2005;BA;2927408;Salvador;29185149;ESCOLA ESTADUAL DR EDUARDO BIZARRIA MAMEDE;Estadual;3.4;EFAF
2005;BA;2927408;Salvador;29185173;EE - COLEGIO ESTADUAL RAFAEL OLIVEIRA;Estadual;2.3;EFAF
2005;BA;2927408;Salvador;29185351;EE - COLEGIO ESTADUAL LEDA JESUINO DOS SANTOS - TEMPO INTEGRAL;Estadual;2.7;EFAF
2005;BA;2927408;Salvador;29185408;EE - ESCOLA ESTADUAL PROFESSORA MARIINHA TAVARES;Estadual;1.9;EFAF
2005;BA;2927408;Salvador;29185459;ESCOLA MUNICIPAL PADRE NORBERTO;Municipal;2.6;EFAF
2005;BA;2927408;Salvador;29185793;ESCOLA MUNICIPAL JOIR BRASILEIRO;Municipal;2.5;EFAF
2005;BA;2927408;Salvador;29185823;EE - ESCOLA ESTADUAL JURACY MAGALHAES JUNIOR;Estadual;2;EFAF
2005;BA;2927408;Salvador;29185882;EE - COLEGIO ESTADUAL LEOPOLDO DOS REIS - TEMPO INTEGRAL;Estadual;2.4;EFAF
2005;BA;2927408;Salvador;29186285;ESCOLA MUNICIPAL ALMIRANTE ERNESTO DE MOURAO SA;Municipal;1.9;EFAF
2005;BA;2927408;Salvador;29186366;ESCOLA MUNICIPAL MARIA CONSTANCA;Municipal;2.5;EFAF
2005;BA;2927408;Salvador;29186536;ESCOLA MUNICIPAL DE ILHA DE MARE;Municipal;NA;EFAF
2005;BA;2927408;Salvador;29186552;EE - ESCOLA ESTADUAL PROFESSORA NATALIA VINHAES;Estadual;NA;EFAF
2005;BA;2927408;Salvador;29186625;ESCOLA MUNICIPAL NOSSA SENHORA DE NAZARE;Municipal;3.5;EFAF
2005;BA;2927408;Salvador;29186749;EE - ESCOLA OCRIDALINA MADUREIRA;Estadual;2.5;EFAF
2005;BA;2927408;Salvador;29186935;EE - COLEGIO ESTADUAL PADRE JOSE VASCONCELOS;Estadual;0.9;EFAF
2005;BA;2927408;Salvador;29187001;EE - COLEGIO ESTADUAL POLIVALENTE DE AMARALINA;Estadual;3;EFAF
2005;BA;2927408;Salvador;29187010;EE - COLEGIO ESTADUAL POLIVALENTE SAN DIEGO;Estadual;2.1;EFAF
2005;BA;2927408;Salvador;29187079;EE - ESCOLA PRESCILIANO SILVA;Estadual;2.2;EFAF
2005;BA;2927408;Salvador;29187095;EE - COLEGIO ESTADUAL PRINCESA IZABEL;Estadual;3.2;EFAF
2005;BA;2927408;Salvador;29187303;EE - COLEGIO ESTADUAL LUIZ FERNANDO MACEDO COSTA - TEMPO INTEGRAL;Estadual;2.7;EFAF
2005;BA;2927408;Salvador;29187320;EE - CENTRO ESTADUAL DE EDUCACAO PROFISSIONAL EM GESTAO NEGOCIOS E TURISMO LUIZ NAVARRO DE BRITO;Estadual;1.3;EFAF
2005;BA;2927408;Salvador;29187338;ESCOLA MUNICIPAL PROFESSORA MARIA JOSE DE PAULA MOREIRA;Municipal;NA;EFAF
2005;BA;2927408;Salvador;29187346;EE - ESCOLA PROFESSOR ROBERTO SANTOS;Estadual;2.9;EFAF
2005;BA;2927408;Salvador;29187370;ESCOLA MUNICIPAL PROFª ALEXANDRINA SANTOS PITA;Municipal;1.6;EFAF
2005;BA;2927408;Salvador;29187419;EE - COLEGIO ESTADUAL PROFESSORA ELISABETH CHAVES VELOSO;Estadual;2.1;EFAF
2005;BA;2927408;Salvador;29187583;EE - COLEGIO ESTADUAL RENAN BALEEIRO;Estadual;2.5;EFAF
2005;BA;2927408;Salvador;29187770;EE - ESCOLA SANTA EDWIRGENS;Estadual;NA;EFAF
2005;BA;2927408;Salvador;29187877;EE - ESCOLA ESTADUAL PIERRE VERGER;Estadual;3.1;EFAF
2005;BA;2927408;Salvador;29188270;EE - COLEGIO ESTADUAL SANTA RITA DE CASSIA;Estadual;NA;EFAF
2005;BA;2927408;Salvador;29188431;EE - ESCOLA TEODORO SAMPAIO;Estadual;NA;EFAF
2005;BA;2927408;Salvador;29188458;EE - COLEGIO ESTADUAL TEREZA HELENA MATA PIRES;Estadual;2.6;EFAF
2005;BA;2927408;Salvador;29188601;EE - COLEGIO ESTADUAL VITOR SOARES;Estadual;2.8;EFAF
2005;BA;2927408;Salvador;29188695;EE - ESCOLA VISCONDE DE ITAPARICA;Estadual;2.5;EFAF
2005;BA;2927408;Salvador;29188768;EE - COLEGIO ESTADUAL JOSIAS DE ALMEIDA MELO;Estadual;NA;EFAF
2005;BA;2927408;Salvador;29188784;EE - ESCOLA ESTADUAL DEPUTADO NAOMAR ALCANTARA - TEMPO INTEGRAL;Estadual;2.4;EFAF
2005;BA;2927408;Salvador;29188792;EE - COLEGIO ESTADUAL ARTUR DE SALES;Estadual;2.4;EFAF
2005;BA;2927408;Salvador;29188903;EE - COLEGIO ESTADUAL ABILIO CESAR BORGES;Estadual;2.1;EFAF
2005;BA;2927408;Salvador;29189012;EE - COLEGIO ESTADUAL DOUTOR AILTON PINTO DE ANDRADE;Estadual;NA;EFAF
2005;BA;2927408;Salvador;29189047;EE - COLEGIO ESTADUAL ALBERTO VALENCA - TEMPO INTEGRAL;Estadual;NA;EFAF
2005;BA;2927408;Salvador;29189071;ESCOLA MUNICIPAL ALFREDO AMORIM;Municipal;3;EFAF
2005;BA;2927408;Salvador;29189080;EE - COLEGIO ESTADUAL ALFREDO MAGALHAES - TEMPO INTEGRAL;Estadual;2.5;EFAF
2005;BA;2927408;Salvador;29189241;EE - COLEGIO ESTADUAL ANFRISIA SANTIAGO - TEMPO INTEGRAL;Estadual;NA;EFAF
2005;BA;2927408;Salvador;29189268;EE - ESCOLA ANTONIO CARLOS MAGALHAES;Estadual;NA;EFAF
2005;BA;2927408;Salvador;29189454;EE - COLEGIO ESTADUAL ASSIS CHATEAUBRIAND;Estadual;3.7;EFAF
2005;BA;2927408;Salvador;29189675;ESCOLA MUNICIPAL BRIGADEIRO EDUARDO GOMES;Municipal;2.8;EFAF
2005;BA;2927408;Salvador;29189950;EE - ESCOLA ESTADUAL CASTRO ALVES;Estadual;3.3;EFAF
2005;BA;2927408;Salvador;29190002;EE - COLEGIO ESTADUAL CELINA PINHO - CLASSE VIII;Estadual;0.4;EFAF
2005;BA;2927408;Salvador;29190061;ESCOLA MUNICIPAL CIDADE DE JEQUIE;Municipal;2.5;EFAF
2005;BA;2927408;Salvador;29190118;EE - ESCOLA CLARITA MARIANI;Estadual;NA;EFAF
2005;BA;2927408;Salvador;29190142;EE - ESCOLA CLETO ARAPONGA;Estadual;NA;EFAF
2005;BA;2927408;Salvador;29190274;ESCOLA MUNICIPAL MARIA DOLORES;Municipal;NA;EFAF
2005;BA;2927408;Salvador;29190363;EE - COLEGIO ESTADUAL CONSELHEIRO VICENTE PACHECO DE OLIVEIRA-TEMPO INTEGRAL;Estadual;2.2;EFAF
2005;BA;2927408;Salvador;29190630;EE - ESCOLA CUPERTINO DE LACERDA;Estadual;2.8;EFAF
2005;BA;2927408;Salvador;29190657;ESCOLA MUNICIPAL HELENA MAGALHAES;Municipal;1.4;EFAF
2005;BA;2927408;Salvador;29190720;EE - COLEGIO ESTADUAL DANIEL LISBOA;Estadual;NA;EFAF
2005;BA;2927408;Salvador;29190738;EE - COLEGIO ESTADUAL DANTAS JUNIOR;Estadual;2.2;EFAF
2005;BA;2927408;Salvador;29190754;EE - COLEGIO ESTADUAL DOUTOR JOAO PEDRO DOS SANTOS;Estadual;2.4;EFAF
2005;BA;2927408;Salvador;29190770;EE - COLEGIO ESTADUAL ALBERTO SANTOS DUMONT;Estadual;2;EFAF
2005;BA;2927408;Salvador;29190835;EE - COLEGIO ESTADUAL BRIGADEIRO EDUARDO GOMES;Estadual;2.4;EFAF
2005;BA;2927408;Salvador;29190851;EE - COLEGIO ESTADUAL CESARE CASALI;Estadual;2.4;EFAF
2005;BA;2927408;Salvador;29190860;EE - COLEGIO ESTADUAL CIDADE DE CURITIBA;Estadual;1.8;EFAF
2005;BA;2927408;Salvador;29190878;EE - COLEGIO ESTADUAL COSME DE FARIAS;Estadual;2.7;EFAF
2005;BA;2927408;Salvador;29190894;EE - COLEGIO ESTADUAL DEPUTADO ROGERIO REGO;Estadual;2.1;EFAF
2005;BA;2927408;Salvador;29190908;EE - COLEGIO ESTADUAL LUIS ROGERIO DE SOUZA;Estadual;2.6;EFAF
2005;BA;2927408;Salvador;29190916;EE - COLEGIO ESTADUAL EDIVALDO BOAVENTURA;Estadual;2.8;EFAF
2005;BA;2927408;Salvador;29190932;EE - COLEGIO ESTADUAL EURICLES DE MATOS;Estadual;2.8;EFAF
2005;BA;2927408;Salvador;29190967;EE - COLEGIO ESTADUAL GOVERNADOR OTAVIO MANGABEIRA;Estadual;2.7;EFAF
2005;BA;2927408;Salvador;29190975;ESCOLA MUNICIPAL GOVERNADOR ROBERTO SANTOS;Municipal;NA;EFAF
2005;BA;2927408;Salvador;29190983;ESCOLA MUNICIPAL IVONE VIEIRA LIMA;Municipal;NA;EFAF
2005;BA;2927408;Salvador;29190991;EE - COLEGIO ESTADUAL JOAO DAS BOTAS;Estadual;2.3;EFAF
2005;BA;2927408;Salvador;29191009;EE - COLEGIO ESTADUAL KLEBER PACHECO;Estadual;1.7;EFAF
2005;BA;2927408;Salvador;29191017;EE - COLEGIO ESTADUAL MANOEL VITORINO - TEMPO INTEGRAL;Estadual;2.7;EFAF
2005;BA;2927408;Salvador;29191041;EE - COLEGIO ESTADUAL PADRE PALMEIRA;Estadual;1.6;EFAF
2005;BA;2927408;Salvador;29191068;EE - COLEGIO ESTADUAL PINTO DE AGUIAR;Estadual;2.8;EFAF
2005;BA;2927408;Salvador;29191084;EE - COLEGIO ESTADUAL PROFESSOR CARLOS SANT ANNA - TEMPO INTEGRAL;Estadual;1;EFAF
