UF;MUNICIPIO;NOME_MUNICIPIO;COD_ESCOLA;NOME_ESCOLA;REDE;TXAPROV_TOTAL_2017;TXAPROV_SERIE1_2017;TXAPROV_SERIE2_2017;TXAPROV_SERIE3_2017;TXAPROV_SERIE4_2017;P_2017;TXAPROV_TOTAL_2019;TXAPROV_SERIE1_2019;TXAPROV_SERIE2_2019;TXAPROV_SERIE3_2019;TXAPROV_SERIE4_2019;P_2019;SAEB_MAT_2017;SAEB_PORT_2017;N_2017;SAEB_MAT_2019;SAEB_PORT_2019;N_2019;IDEB_2017;IDEB_2019
BA;2927408;Salvador;29179491;EE - CENTRO EDUCACIONAL CARNEIRO RIBEIRO - CLASSE IV;Estadual;66.2;54.1;75;80.7;NA;0.678592;63.9;57.7;58.9;77.1;NA;0.63453;ND;ND;NA;ND;ND;NA;NA;NA
BA;2927408;Salvador;29180104;EE - CENTRO ESTADUAL DE EDUCACAO PROFISSIONAL EM LOGISTICA E TRANSPORTE LUIZ PINTO DE CARVALHO;Estadual;67.7;59.9;77.1;76.9;61.2;0.677869;84.5;80;86.5;95;78.7;0.845782;ND;ND;NA;ND;ND;NA;NA;NA
BA;2927408;Salvador;29180490;EE - CENTRO EDUCACIONAL EDGAR SANTOS;Estadual;36.4;23.4;15.6;44.6;89.7;0.284885;52;40.3;56.6;60.3;61.5;0.531028;ND;ND;NA;ND;ND;NA;NA;NA
BA;2927408;Salvador;29181119;EE - COLEGIO ESTADUAL LUIZ TARQUINIO - TEMPO INTEGRAL;Estadual;76.3;64.9;76.6;90;NA;0.758068;86.2;82.1;87.1;91.7;NA;0.867894;268.22;268.22;4.471919;ND;ND;NA;3.4;NA
BA;2927408;Salvador;29181143;EE - COLEGIO ESTADUAL LUIS VIANA;Estadual;69.6;62.1;71.5;79.6;27.3;0.504529;75.4;68.8;81.3;76.5;100;0.801492;ND;ND;NA;ND;ND;NA;NA;NA
BA;2927408;Salvador;29181151;EE - CENTRO ESTADUAL DE EDUCACAO PROFISSIONAL EM SAUDE ANISIO TEIXEIRA;Estadual;49.6;54.8;73.7;69.9;20.1;0.417214;55.5;61.2;70.4;84.3;21.8;0.453112;ND;ND;NA;ND;ND;NA;NA;NA
BA;2927408;Salvador;29181429;EE - COLEGIO DA POLICIA MILITAR - UNIDADE I CPM DENDEZEIROS;Estadual;91.1;94.5;92.6;83.7;NA;0.900128;88;96.7;89.8;73.9;NA;0.856924;312.45;300.72;5.579653;269.41;249.96;4.215279;5;3.6
BA;2927408;Salvador;29181470;EE - COLEGIO ESTADUAL DUQUE DE CAXIAS;Estadual;61.1;57.8;69.1;57.9;25;0.449216;59.6;55.1;64.5;59.6;NA;0.59487;ND;ND;NA;ND;ND;NA;NA;NA
BA;2927408;Salvador;29181488;EE - COLEGIO ESTADUAL GOVERNADOR LOMANTO JUNIOR;Estadual;71.4;70;75.8;72;31.6;0.547849;77.8;65.3;84;89;NA;0.78014;ND;ND;NA;ND;ND;NA;NA;NA
BA;2927408;Salvador;29181496;EE - COLEGIO ESTADUAL GOVERNADOR ROBERTO SANTOS;Estadual;56;47;67.7;58.1;64.7;0.582112;62.4;62.4;75.8;49;78.9;0.642047;ND;ND;NA;ND;ND;NA;NA;NA
BA;2927408;Salvador;29181500;EE - COLEGIO ESTADUAL MANOEL DEVOTO;Estadual;66.7;65.2;59;79.4;NA;0.668434;61.2;61.2;64.9;57.3;NA;0.609754;ND;ND;NA;ND;ND;NA;NA;NA
BA;2927408;Salvador;29181526;EE - COLEGIO ESTADUAL PRESIDENTE COSTA E SILVA;Estadual;64.7;57.6;73.2;74;11.3;0.300681;60.6;52.6;70;69.8;34.7;0.523271;ND;ND;NA;ND;ND;NA;NA;NA
BA;2927408;Salvador;29181534;EE - COLEGIO ESTADUAL NELSON MANDELA;Estadual;64.5;54.5;65.8;79;NA;0.649289;81.5;74.3;86;86.1;NA;0.817411;ND;ND;NA;258.1;266.81;4.308676;NA;3.5
BA;2927408;Salvador;29181542;EE - CENTRO ESTADUAL DE EDUCACAO PROFISSIONAL EM GESTAO SEVERINO VIEIRA;Estadual;66;71.2;61.2;83.5;43.3;0.611102;76.5;65.2;87.2;87.4;65.5;0.747466;ND;ND;NA;ND;ND;NA;NA;NA
BA;2927408;Salvador;29181550;EE - COLEGIO ESTADUAL SENHOR DO BONFIM;Estadual;69.2;72.1;59.3;77.6;NA;0.687764;68.1;58.3;66.1;85.5;NA;0.682172;ND;ND;NA;ND;ND;NA;NA;NA
BA;2927408;Salvador;29181631;EE - COLEGIO POLIVALENTE DO CABULA;Estadual;74.1;59.4;84;89.1;NA;0.750692;79.1;64.7;87.4;92.1;NA;0.794589;ND;ND;NA;ND;ND;NA;NA;NA
BA;2927408;Salvador;29181640;COLEGIO SAO JOSE;Privada;89.7;91.9;87.7;89.6;NA;0.897005;NA;NA;NA;NA;NA;NA;350.15;332.65;6.587142;NA;NA;NA;5.9;NA
BA;2927408;Salvador;29182034;EE - COLEGIO ESTADUAL ANTONIO CARLOS MAGALHAES;Estadual;58;50.3;61.8;66;NA;0.585783;61.6;49.1;64.9;74.4;NA;0.609561;ND;ND;NA;ND;ND;NA;NA;NA
BA;2927408;Salvador;29182042;EE - COLEGIO ESTADUAL HELENA CELESTINO MAGALHAES - TEMPO INTEGRAL;Estadual;57.6;53.7;68;52.6;NA;0.573183;60;41.7;76.5;91.7;NA;0.625549;ND;ND;NA;255.68;253.9;4.081424;NA;2.6
BA;2927408;Salvador;29182050;EE - COLEGIO ESTADUAL TEREZA CONCEICAO MENEZES;Estadual;89;87.8;84.3;95.8;NA;0.890463;86;85.3;83.6;89.8;NA;0.861551;264.05;255.73;4.226375;ND;ND;NA;3.8;NA
BA;2927408;Salvador;29182077;EE - COLEGIO ESTADUAL ALIPIO FRANCA;Estadual;47;35.1;54.9;58.9;NA;0.471084;68.2;64.5;64.4;79.3;NA;0.687409;ND;ND;NA;260.05;258.41;4.210315;NA;2.9
BA;2927408;Salvador;29182085;EE - COLEGIO ESTADUAL ALVARO AUGUSTO DA SILVA - CLASSE V;Estadual;85.3;71.7;87.5;95.9;NA;0.837916;NA;NA;NA;NA;NA;NA;ND;ND;NA;NA;NA;NA;NA;NA
BA;2927408;Salvador;29182093;EE - COLEGIO ESTADUAL AZEVEDO FERNANDES;Estadual;76.5;80;80;71.4;NA;0.76912;NA;NA;NA;NA;NA;NA;ND;ND;NA;NA;NA;NA;NA;NA
BA;2927408;Salvador;29182107;EE - COLEGIO ESTADUAL CARNEIRO RIBEIRO FILHO;Estadual;50.4;36.9;67.2;58.3;NA;0.507323;NA;NA;NA;NA;NA;NA;ND;ND;NA;NA;NA;NA;NA;NA
BA;2927408;Salvador;29182115;EE - COLEGIO DA POLICIA MILITAR- CPM DONA LEONOR CALMON;Estadual;66.4;62.5;63.3;75.7;NA;0.666551;65.4;60;61.5;72.4;NA;0.641862;ND;ND;NA;ND;ND;NA;NA;NA
BA;2927408;Salvador;29182123;EE - COLEGIO ESTADUAL DA BAHIA CENTRAL;Estadual;67.6;62.8;72.5;76.7;NA;0.701681;76.8;63.9;84.2;84.7;NA;0.762732;ND;ND;NA;262.56;270.45;4.425807;NA;3.4
BA;2927408;Salvador;29182131;EE - COLEGIO ESTADUAL DEPUTADO MANOEL NOVAES;Estadual;63.7;58.2;64;68;91.7;0.684719;54.1;45.4;61.7;55.7;100;0.604346;ND;ND;NA;ND;ND;NA;NA;NA
BA;2927408;Salvador;29182158;EE - COLEGIO ESTADUAL EVARISTO DA VEIGA - TEMPO INTEGRAL;Estadual;73;66.3;80.6;74.5;NA;0.733268;81.9;75;83.3;89.6;NA;0.821944;ND;ND;NA;ND;ND;NA;NA;NA
BA;2927408;Salvador;29182166;EE - COLEGIO ESTADUAL GOES CALMON;Estadual;75.3;83.2;79.8;89.9;28.3;0.563303;80.3;80;89.8;82.3;61.1;0.766972;ND;ND;NA;ND;ND;NA;NA;NA
